imdbID,title,year,mpaa,duration,genres,rating,metascore,summary,directors,stars,numvotes,gross
0091827,"Ratboy",1986,PG-13,104,Comedy++Crime++Drama,3.7,,"Several shady and shallow people try to profit, one after the other, from a physically deformed teenager whose face looks like a snout of a rodent and who lives hidden in a city garbage dump, alone and miserable.",Sondra Locke,Sondra Locke++Robert Townsend++Christopher Hewett++Larry Hankin,498,
0092022,"Streets of Gold",1986,R,95,Drama++Sport,6.0,,"Alek is an immigrant from the Soviet Union who was a talented boxer in his day, but he was not allowed on the Soviet national team because he was a Jew. Depressed and discouraged, he meets ... See full summary »",Joe Roth,Klaus Maria Brandauer++Adrian Pasdar++Wesley Snipes++Ángela Molina,496,$2.55M
0092030,"The Supernaturals",1986,R,91,Horror++Mystery++Sci-Fi,4.3,,"Nichelle Nichols is an army sergeant who leads her platoon into the woods of the deep south on a training exercise. Unfortunately, it is the site where a bunch of yankee soldiers murdered a... See full summary »",Armand Mastroianni,Maxwell Caulfield++Nichelle Nichols++Talia Balsam++Bradford Bancroft,490,
0214704,"Gandhinagar 2nd Street",1986,,137,Comedy++Family++Romance,7.7,,"A jobless Malayali youth poses as a Nepali to get a job as a watchman.",Sathyan Anthikad,Mohanlal++Mammootty++Sreenivasan++Asokan,490,
0090659,"Armed Response",1986,R,86,Action++Crime++Thriller,4.9,,"One of Tanaka's underlings has stolen a rare statuette that he had planned to use as a peace offering between the local Yakusa and Chinese Tong. He hires two private investigators to ... See full summary »",Fred Olen Ray,David Carradine++Lee Van Cleef++Mako++Lois Hamilton,483,$1.37M
0092130,"A Man and a Woman: 20 Years Later",1986,PG,102,Drama++Romance,5.8,,"Jean-Louis and Anne have had their fling and separated. Now 20 years have passed. He is still dating various women. She is now a big time director whose most recent film was a very ... See full summary »",Claude Lelouch,Anouk Aimée++Jean-Louis Trintignant++Richard Berry++Evelyne Bouix,479,$0.23M
0093232,"Hunter's Blood",1986,R,101,Adventure++Horror++Thriller,6.0,,"Five ""city boys"" travel to the country to relax by doing some hunting, drinking Bud, and generally having good time. However, the local inbred backwoods psychos turn the hunters to be the ... See full summary »",Robert C. Hughes,Sam Bottoms++Kim Delaney++Clu Gulager++Ken Swofford,478,
0091601,"Nagina",1986,,137,Fantasy++Romance,6.7,,"Rajiv comes from a very wealthy family, and lives in a palatial home with his mother, who would like him to get married to a beautiful young woman named Vijaya Singh, the only daughter of ... See full summary »",Harmesh Malhotra,Rishi Kapoor++Sridevi++Prem Chopra++Roobini,474,
0092268,"Mad Mission 4: You Never Die Twice",1986,,86,Action++Comedy,5.9,,"Baldy and King Kong shuttle between New Zealand and Hong Kong to recover a hi-tech prism that can impart superhuman powers",Ringo Lam,Samuel Hui++Karl Maka++Sylvia Chang++Sally Yeh,471,
0087945,"Star Slammer",1986,R,86,Action++Comedy++Sci-Fi,3.3,,"Two women who have been unjustly confined to a prison planet plot their escape, all the while having to put up with lesbian guards, crazed wardens and mutant rodents.",Fred Olen Ray,Sandy Brooke++Suzy Stokey++Ross Hagen++Marya Gant,470,
