mLensID,imdbID,ratingAvg,ratingNum,releaseDate,releaseYear,durationMin,mpaaRating,director,country,language,budget,gross
"79927","1087890","6.9","4,500","24 October 2008 (Denmark)","2008","99","Unrated","Henrik Ruben Genz","Denmark","Danish","Unavailable","$70,059"
"79929","1346961","6.2","2,519","15 April 2010 (Australia)","2010","86","R","Conor McPherson","Ireland","English","Unavailable","$128,937"
"79936","95880","7.3","534","26 February 1988 (Finland)","1988","123","None","Pekka Parikka","Finland","Finnish","FIM&nbsp;5,652,613","Unavailable"
"79946","1285309","6.5","34,483","23 April 2010 (USA)","2010","96","R","Derrick Borte","USA","English","$5,000,000","$1,474,508"
"79953","45333","7","1,014","4 April 1952 (USA)","1952","117","None","Walter Lang","USA","English","Unavailable","Unavailable"
"79955","20112","7.2","1,501","18 January 1930 (USA)","1930","107","Approved","Ernst Lubitsch","USA","English","$650,000","Unavailable"
"79972","1183672","6","1,270","18 March 2009 (France)","2009","97","Unrated","André Téchiné","France","French","Unavailable","$207,323"
"79974","1351224","4.7","2,491","8 January 2010 (India)","2010","140","None","Jugal Hansraj","India","Hindi","Unavailable","Unavailable"
"79977","31835","7","1,334","15 September 1939 (USA)","1939","103","Approved","Clarence Brown","USA","English","$2,600,000","Unavailable"
"79980","1322282","6.6","537","18 January 2009 (USA)","2009","0","NotRated","Tze Chun","USA","English","Unavailable","$8,992"
